Code,Year,life_expectancy,gdp_per_capita,health_spending_pct_gdp,DTP3,MCV1,gini,share_below_6_85,neonatal,tuberculosis,hiv_aids,neoplasms,cardiovascular,gdp_log,neonatal_log,tuberculosis_log,hiv_aids_log
BLR,2004,69.4064,11319.383,4.3993654,99.0,99.0,0.26479885,54.308414,3.5,8.25,2.52,217.29,857.34,4.053822754855944,1.5040773967762742,2.224623551524334,1.2584609896100056
BLR,2005,69.4163,12043.056,4.5223675,99.0,99.0,0.2755341,35.96534,3.52,8.71,2.71,221.58,881.67,4.080736705819592,1.5085119938441398,2.2731562823032334,1.3110318766193438
BLR,2006,69.9876,13609.858,3.9855394,99.0,97.0,0.28275442,27.864786,3.56,8.4,2.94,216.41,866.02,4.133853593966145,1.5173226235262947,2.2407096892759584,1.3711807233098425
BLR,2007,70.7622,15058.907,3.9947464,95.0,99.0,0.2961238,20.696314,3.59,7.86,3.23,208.35,835.72,4.177793451207646,1.5238800240724537,2.1815467646169897,1.4422019930581866
BLR,2008,70.9218,17549.406,3.4828227,97.0,99.0,0.27826044,16.439013,3.43,7.65,3.42,210.72,840.18,4.2442624213552325,1.4883995840570443,2.157559320943788,1.4861396960896067
BLR,2009,71.0939,17012.016,3.480384,96.0,99.0,0.27689305,15.587072,3.27,7.37,3.93,213.8,854.11,4.230755782501217,1.4516138272405332,2.124653884501384,1.5953389880545987
BLR,2010,71.1219,18824.506,3.849219,98.0,99.0,0.285666,11.847744,3.06,7.29,3.99,221.31,863.06,4.274723588097754,1.4011829736136412,2.115049969147204,1.6074359097634274
BLR,2011,71.5165,21223.59,3.0884151,98.0,99.0,0.2715255,9.963087,2.91,7.05,4.35,223.6,884.4,4.326818847299496,1.3635373739972745,2.085672091430472,1.6770965609079151
BLR,2012,72.6137,20276.56,3.443698,98.0,98.0,0.26526198,5.863124,2.79,5.67,3.91,203.15,811.02,4.306994277104106,1.332366019094335,1.8976198599275322,1.5912739418064292
BLR,2013,72.9891,19838.09,3.5686817,98.0,99.0,0.26575053,3.4045155,2.68,4.96,3.56,201.52,812.31,4.297499856205702,1.3029127521808397,1.7850704810772584,1.5173226235262947
BLR,2014,73.5849,20188.39,3.3728805,97.0,99.0,0.27176666,3.2034385,2.52,4.29,3.62,200.94,808.23,4.305101685858158,1.2584609896100056,1.665818245870208,1.5303947050936475
BLR,2015,73.9874,19728.426,3.686742,99.0,99.0,0.25633225,4.103668,2.33,3.71,3.52,198.62,796.32,4.295092437163852,1.2029723039923526,1.5496879080283263,1.5085119938441398
